"StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","intro","joaff5","joagg5","joinc5","jonon4","jonon5","jorew4","jorew5","joself4","joself5","josex4","josex5","imgaff1","imgaff2","imgagg1","imgagg2","imginc1","imginc2","imgnon1","imgnon2","imgrew1","imgrew2","imgsex1","imgsex2","vidaff5","vidaff4","vidagg3","vidagg4","vidinc3","vidinc4","vidnon3","vidnon4","vidrew3","vidself3","vidsex2","vidsex3","attention_check","cheerfulness_1","cheerfulness_4","cheerfulness_5","cheerfulness_6","cheerfulness_7","cheerfulness_8","cheerfulness_9","cheerfulness_10","cheerfulness_11","cheerfulness_12","cheerfulness_13","cheerfulness_14","cheerfulness_15","cheerfulness_16","cheerfulness_17","cheerfulness_19","cheerfulness_20","cheerfulness_21","cheerfulness_23","cheerfulness_24","gender","age","techissues","vidaudCHECK","comment"
"Start Date","End Date","Response Type","IP0.287419396643298","Progress","Duration (in seconds)","Finished","Recorded Date","ID-0.170090918456194","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language","Thank you for participating! 

In this study, we will ask you to provide ratings of several jokes, cartoons, and videos.

 
Information about the study 

 

This study is being conducted by the Department of Social Psychology at Tilburg University. The intention of this study is to research and gain knowledge on how people rate humorous content. This study will take approximately 10-15 minutes to complete.

 

Participation, Benefits and Risks 

Participation in this research study is completely voluntary. You have the right to withdraw at any time or refuse to participate entirely without providing any explanation. If you desire to withdraw, please simply close your internet browser. There will be no negative consequences if you withdraw or refuse to participate. Risks are minimal for involvement in this study. It is very unlikely that participating in this study would affects you in a negative way emotionally or otherwise. The content of the study was screened beforehand to ensure that no offensive or unpleasant content is featured. 



Requirements

To participate in this study, you need to be at least 18 years old. 



Confidentiality 

All data obtained from participants will be kept anonymous. There will be no record that links the data collected from you with any personal data from which you could be identified (e.g.,your name, address, email, etc.). The anonymous data may be made available to researchers via accessible data repositories and possibly used for novel purposes. The data will be stored for at least 10 years. If you have questions regarding this study, you may contact the researcher Hannes Rosenbusch at h.rosenbusch@tilburguniversity.edu. This study has received approval from the Tilburg School of Behavioral Sciences’ Ethical Review Board. If you have any remarks or complaints regarding this research, you may also contact the Ethics Review Board of Tilburg School of Social and Behavioral Sciences via erb@tilburguniversity.edu. 



Thank you for taking the time to participate in this study!","How funny is this joke?
 

""""""""Daddy, why is the sky so high?"""""""" 

""""""""So the birds wouldn’t hit their heads all the time, darling.""""""""","How funny is this joke?

 

A blonde and a brunette worked in a factory. The brunette says, I know how to get some time off from work! """"""""How"""""""" asks the blonde. """"""""Watch this"""""""", says the brunette. She climbs up to the rafter and hangs upside down. The boss walks in, sees her and says, """"""""What on earth are you doing?"""""""" """"""""I'm a lightbulb"""""""", she answers. """"""""I think you need some time off"""""""", says the boss so she jumps down and walks out. The blonde starts walking out, too. """"""""Where are YOU going?"""""""", says the boss. The blonde replies, """"""""I can't work in the dark!""""""""","How funny is this joke?

 

Today I donated my watch, phone, and $500 to a poor guy. You wouldn’t believe the happiness I felt as he slid the pistol back into his pocket.","How funny is this joke?
How many nonsensical jokes does it take to screw in a lightbulb?Three","How funny is this joke?

 


Half my humor is puns, the other half is memes.

The third half is absurdity.","How funny is this joke?

 


What has two grey legs and two brown legs?

An elephant with diarrhea","How funny is this joke?

 


What begins with a """"""""W"""""""" and ends with a """"""""T""""""""

It really does!","How funny is this joke?

 

It’s true that I’m CUTE: C(ringy), U(nattractive), T(rash), and E(asy to forget).","How funny is this joke?

 

My life’s purpose is to be a cautionary tale for others.","How funny is this joke?
My mate said he slept with a girl called Gibberish.Fucking nonsense if you ask me.","How funny is this joke?
Men vacuum in the same way that they have sex.
They just put it in and make some noise for 3 minutes before they collapse on the couch and think that their wife should be really happy.","How funny is this image?","How funny is this image?","How funny is this image?","How funny is this image?","How funny is this image?","How funny is this image?","How funny is this image?","How funny is this image?","How funny is this image?","How funny is this image?","How funny is this image?","How funny is this image?","How funny is this video? (Please click play.)","How funny is this video? (Please click play.)","How funny was this video? (Please click play.)","How funny was this video? (Please click play.)","How funny is this video? (Please click play.)","How funny is this video? (Please click play.)","How funny is this video? (Please click play.)","How funny is this video? (Please click play.)","How funny is this video? (Please click play.)","How funny is this video? (Please click play.)","How funny is this video? (Please click play.)","How funny is this video? (Please click play.)","Which content was discussed in the last video?","Please indicate how well these statements describe you. - My way of life can be described as positive and carefree.","Please indicate how well these statements describe you. - I am a cheerful person.","Please indicate how well these statements describe you. - I can be made to laugh easily.","Please indicate how well these statements describe you. - I can easily unwind and enjoy the moment.","Please indicate how well these statements describe you. - Everyday life often gives me the occasion to laugh.","Please indicate how well these statements describe you. - I have a """"""""sunny"""""""" nature.","Please indicate how well these statements describe you. - I often smile.","Please indicate how well these statements describe you. - Laughing has a contagious effect on me.","Please indicate how well these statements describe you. - I often find that the small things in everyday life are really funny and amusing.","Please indicate how well these statements describe you. - I like to laugh and do it often.","Please indicate how well these statements describe you. - I am a merry person.","Please indicate how well these statements describe you. - Many adversities of everyday life actually do have a positive side.","Please indicate how well these statements describe you. - I feel completely contented being with cheerful people.","Please indicate how well these statements describe you. - The good mood of others has a contagious effect on me.","Please indicate how well these statements describe you. - I often find the slight mishaps of everyday life amusing, even if they happen to me.","Please indicate how well these statements describe you. - I am often in a good mood, even without a specific reason.","Please indicate how well these statements describe you. - I am often in a joyous mood.","Please indicate how well these statements describe you. - Experience has shown me that the proverb """"""""Laughter is the best medicine"""""""" is really true.","Please indicate how well these statements describe you. - I like to kid around with others.","Please indicate how well these statements describe you. - It is easy for me to spread good cheer.","What is  your gender?","What is your age?","Did you have technical issues during the survey?","Did you watch all the videos and listen to the audio?","If you have comments that you want to share, please enter them here."
"{""""""""ImportId"""""""":""""""""startDate"""""""",""""""""timeZone"""""""":""""""""America/Denver""""""""}","{""""""""ImportId"""""""":""""""""endDate"""""""",""""""""timeZone"""""""":""""""""America/Denver""""""""}","{""""""""ImportId"""""""":""""""""status""""""""}","IP0.632455354274958","{""""""""ImportId"""""""":""""""""progress""""""""}","{""""""""ImportId"""""""":""""""""duration""""""""}","{""""""""ImportId"""""""":""""""""finished""""""""}","{""""""""ImportId"""""""":""""""""recordedDate"""""""",""""""""timeZone"""""""":""""""""America/Denver""""""""}","ID0.298888123835779","{""""""""ImportId"""""""":""""""""recipientLastName""""""""}","{""""""""ImportId"""""""":""""""""recipientFirstName""""""""}","{""""""""ImportId"""""""":""""""""recipientEmail""""""""}","{""""""""ImportId"""""""":""""""""externalDataReference""""""""}","{""""""""ImportId"""""""":""""""""locationLatitude""""""""}","{""""""""ImportId"""""""":""""""""locationLongitude""""""""}","{""""""""ImportId"""""""":""""""""distributionChannel""""""""}","{""""""""ImportId"""""""":""""""""userLanguage""""""""}","{""""""""ImportId"""""""":""""""""QID37""""""""}","{""""""""ImportId"""""""":""""""""QID26""""""""}","{""""""""ImportId"""""""":""""""""QID27""""""""}","{""""""""ImportId"""""""":""""""""QID28""""""""}","{""""""""ImportId"""""""":""""""""QID29""""""""}","{""""""""ImportId"""""""":""""""""QID30""""""""}","{""""""""ImportId"""""""":""""""""QID31""""""""}","{""""""""ImportId"""""""":""""""""QID32""""""""}","{""""""""ImportId"""""""":""""""""QID33""""""""}","{""""""""ImportId"""""""":""""""""QID34""""""""}","{""""""""ImportId"""""""":""""""""QID35""""""""}","{""""""""ImportId"""""""":""""""""QID36""""""""}","{""""""""ImportId"""""""":""""""""QID1""""""""}","{""""""""ImportId"""""""":""""""""QID2""""""""}","{""""""""ImportId"""""""":""""""""QID3""""""""}","{""""""""ImportId"""""""":""""""""QID4""""""""}","{""""""""ImportId"""""""":""""""""QID5""""""""}","{""""""""ImportId"""""""":""""""""QID6""""""""}","{""""""""ImportId"""""""":""""""""QID7""""""""}","{""""""""ImportId"""""""":""""""""QID8""""""""}","{""""""""ImportId"""""""":""""""""QID9""""""""}","{""""""""ImportId"""""""":""""""""QID10""""""""}","{""""""""ImportId"""""""":""""""""QID11""""""""}","{""""""""ImportId"""""""":""""""""QID12""""""""}","{""""""""ImportId"""""""":""""""""QID13""""""""}","{""""""""ImportId"""""""":""""""""QID14""""""""}","{""""""""ImportId"""""""":""""""""QID15""""""""}","{""""""""ImportId"""""""":""""""""QID16""""""""}","{""""""""ImportId"""""""":""""""""QID17""""""""}","{""""""""ImportId"""""""":""""""""QID18""""""""}","{""""""""ImportId"""""""":""""""""QID19""""""""}","{""""""""ImportId"""""""":""""""""QID20""""""""}","{""""""""ImportId"""""""":""""""""QID21""""""""}","{""""""""ImportId"""""""":""""""""QID22""""""""}","{""""""""ImportId"""""""":""""""""QID23""""""""}","{""""""""ImportId"""""""":""""""""QID24""""""""}","{""""""""ImportId"""""""":""""""""QID48""""""""}","{""""""""ImportId"""""""":""""""""QID44_1""""""""}","{""""""""ImportId"""""""":""""""""QID44_4""""""""}","{""""""""ImportId"""""""":""""""""QID44_5""""""""}","{""""""""ImportId"""""""":""""""""QID44_6""""""""}","{""""""""ImportId"""""""":""""""""QID44_7""""""""}","{""""""""ImportId"""""""":""""""""QID44_8""""""""}","{""""""""ImportId"""""""":""""""""QID44_9""""""""}","{""""""""ImportId"""""""":""""""""QID44_10""""""""}","{""""""""ImportId"""""""":""""""""QID44_11""""""""}","{""""""""ImportId"""""""":""""""""QID44_12""""""""}","{""""""""ImportId"""""""":""""""""QID44_13""""""""}","{""""""""ImportId"""""""":""""""""QID44_14""""""""}","{""""""""ImportId"""""""":""""""""QID44_15""""""""}","{""""""""ImportId"""""""":""""""""QID44_16""""""""}","{""""""""ImportId"""""""":""""""""QID44_17""""""""}","{""""""""ImportId"""""""":""""""""QID44_19""""""""}","{""""""""ImportId"""""""":""""""""QID44_20""""""""}","{""""""""ImportId"""""""":""""""""QID44_21""""""""}","{""""""""ImportId"""""""":""""""""QID44_23""""""""}","{""""""""ImportId"""""""":""""""""QID44_24""""""""}","{""""""""ImportId"""""""":""""""""QID39""""""""}","{""""""""ImportId"""""""":""""""""QID40_TEXT""""""""}","{""""""""ImportId"""""""":""""""""QID45""""""""}","{""""""""ImportId"""""""":""""""""QID47""""""""}","{""""""""ImportId"""""""":""""""""QID43_TEXT""""""""}"
"2021-01-12 06:16:02","2021-01-12 06:17:09","0","IP2.36383164519283","100","66","1","2021-01-12 06:17:09","ID-0.122374074569768","","","","","51.69549560546875","5.315399169921875","anonymous","EN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-01-12 06:28:52","2021-01-12 06:30:52","0","IP-0.516366798949352","100","119","1","2021-01-12 06:30:52","ID-0.912182191183533","","","","","51.69549560546875","5.315399169921875","anonymous","EN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-01-13 05:58:24","2021-01-13 06:11:59","0","IP0.636797282854091","100","815","1","2021-01-13 06:12:00","ID0.597541236204279","","","","","51.69549560546875","5.315399169921875","anonymous","EN","4","5","5","2","5","2","6","1","1","1","6","2","5","5","5","1","4","4","7","1","6","4","5","4","5","5","2","6","6","1","2","1","4","1","7","4","","2","3","4","3","3","3","3","4","2","4","3","3","4","3","2","3","3","3","4","3","4","26","","","ily"
"2021-01-13 06:22:27","2021-01-13 06:23:58","0","IP-0.308221515322213","40","91","0","2021-01-20 06:24:06","ID-0.304720814900145","","","","","","","anonymous","EN","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-01-27 02:31:43","2021-01-27 02:57:23","0","IP-0.251104797051235","100","1539","1","2021-01-27 02:57:23","ID-0.198916116391219","","","","","51.69549560546875","5.315399169921875","anonymous","EN","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","28","","",""
"2021-01-27 12:44:11","2021-01-27 12:53:06","0","IP-0.730893494970379","100","535","1","2021-01-27 12:53:07","ID-0.667514289030168","","","","","51.69549560546875","5.315399169921875","anonymous","EN","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-01-27 12:56:55","2021-01-27 13:07:09","0","IP1.23817519068969","100","614","1","2021-01-27 13:07:10","ID1.68077012711341","","","","","50.92059326171875","-3.5850067138671875","anonymous","EN","4","4","5","5","3","4","3","5","1","1","5","2","5","3","5","7","6","3","6","1","5","3","2","2","3","4","4","2","2","2","5","3","1","2","6","1","3","2","2","3","2","2","2","2","3","2","3","1","2","3","3","2","2","3","1","3","2","4","40","1","1","Why is ticktok so pointless? and why were some the other clips cut so short there was barely a full joke"
"2021-01-27 13:00:26","2021-01-27 13:08:27","0","IP0.542594229461103","100","480","1","2021-01-27 13:08:27","ID-0.629102781307857","","","","","42.331298828125","-83.46559906005859375","anonymous","EN","4","7","4","1","5","1","1","1","1","7","1","7","7","5","5","4","4","7","7","7","2","7","1","5","4","7","1","7","1","1","2","2","1","7","7","5","3","3","3","1","3","3","3","4","3","2","3","2","3","3","3","3","3","3","2","3","3","4","26","1","1",""
